source,target,weight
LEFRRAG1,MXJCRTR3,10
LEFRRAG2,LEFRRTR2,10
LEFRRAG1,LEFRRTR2,10
BIJORDN2,BITORTR1,10
BXBORDN1,BXZFRTR3,10
MXMERDN5,MXMERTR3,10
MXMERCS1,MXMERDN2,10
SEPIRDN2,GRVERTR2,10
SEPIRDN2,SEECRTR2,10
MXULRCS1,MXULRDN2,10
MXULRCS2,MXULRDN1,10
BXGARDN1,BXZFRPI3,10
BXZFRDN1,BXZFRPI3,1
MXJCRDN1,MXMERTR3,1
MXJCRDN2,MXJCRTR3,1
MXMERPS1,MXMERPS2,10
BXZFRDN1,BXZFRTR3,1
MXJCRDN1,MXMERPI3,1
MXFURCS1,MXFURDN2,10
MXFURCS2,MXFURDN1,10
MXPARCS2,MXPARDN2,10
BITORTR1,VAFORDN2,1
MXPARCS1,MXPARDN2,10
CXPORAG1,LEFRRTR2,10
CXPORAG1,BITORTR1,10
BXEURPI3,BXZFRDN2,1
MAPTRAG1,GRVERTR2,10
BITORTR1,CXPORAG2,10
LEFRRTR2,CXPORAG2,10
BXZFRTR3,GUCARDN1,10
MXJCRTR3,GUCARDN1,10
MXJCRTR3,SAESRDN2,10
MXJCRTR3,SAESRDN1,10
ROU13-HMAD01,ROU14-HMAD01,10
MXJCRTR3,MXMERDN6,10
BXZFRTR3,GICARAG1,10
BXEURTR3,GICARAG1,10
ROU13-HMAD16,ROU14-HMAD16,10
BXGRRDN1,BXZFRTR3,10
BXGRRDN1,BXEURTR3,10
CAJERAG2,SEECRTR2,10
MXJCRTR3,ZXPIRDN2,10
BXZFRTR3,ZXPIRDN2,10
MXJCRDN3,MXJCRTV1,1
MXJCRDN4,MXJCRTV1,1
BXEURTR3,BXGRRDN2,10
BXZFRTR3,BXGRRDN2,10
LEFRRTR2,MXMERTR3,100
MXAZRPI4,MXPARDN4,100
GRVERTR2,MXJCRTR3,100
LEFRRTR2,MXAZRPI4,100
MXAZRPI4,SEECRTR2,100
MXAZRPI4,MXJCRTR3,100
AXCIRTR2,BXZFRPI3,100
GRVERTR2,ROU14-HSEV01,100
MXAZRPI4,ROU14-HMAD16,100
MXAZRPI4,ROU14-HMAD01,100
MXAZRPI4,MXMERTR3,100
AXCIRTR2,MXJCRTR3,100
GRVERTR2,MXAZRPI4,100
MXAZRPI4,MXMERDN8,100
MXAZRPI4,MXJCRDN4,100
MXAZRPI4,VAFORTR2,100
MXMERPI4,ROU13-HSEV01,100
GRVERTR2,ROU14-HSEV01,10
MXAZRPI4,MXULRDN2,10
MXAZRPI4,MXEXRPI3,1
AXCIRTR2,BXEURTR3,1
GRVERTR2,MUINRDN2,10
GRVERTR2,MUINRDN1,10
LEFRRTR2,VAFORTR2,10
GRVERTR2,MAHSRDN2,10
SEECRTR2,MAHSRDN2,10
LEFRRTR2,OXGIRDN1,10
MXAZRPI4,MXMERDN2,10
LEFRRTR2,POVIRDN1,10
BITORTR1,POVIRDN1,10
MXAZRPI4,MXJCRDN2,10
GRVERTR2,MUNIRAG2,10
GRVERTR2,MUNIRAG1,10
LEFRRTR2,SAESRDN1,10
LEFRRTR2,SAESRDN2,10
MXAZRPI4,MXMERDN4,10
AXCIRTR2,GRVERTR2,10
GRVERTR2,MASARDN2,10
MXAZRPI4,ROU14-HMAD11,10
GRVERTR2,SEECRTR2,10
VAFORTR2,ZAPCRAG1,10
GRVERTR2,SEAMRAG2,10
LEFRRTR2,OXSIRAG1,10
BITORTR1,OXSIRAG1,10
AXCIRTR2,VXQURTR2,10
VAFORTR2,VARERDN1,10
VAFORTR2,VARERDN2,10
LEFRRTR2,SXRURAG1,10
BITORTR1,SXRURAG1,10
MXAZRPI4,MXFURDN2,10
LEFRRTR2,POMARAG1,10
BITORTR1,POMARAG1,10
LEFRRTR2,ROU13-HVIZ01,10
BITORTR1,ROU13-HVIZ01,10
GRVERTR2,MUJURDN2,10
GRVERTR2,MUJURDN1,10
LEFRRTR2,ORPERAG1,10
BITORTR1,ORPERAG1,10
GRVERTR2,JXPARAG2,10
SEECRTR2,MASARDN2,10
SEECRTR2,SEPIRDN1,10
GRVERTR2,SEPIRDN1,10
SEECRTR2,VXQURTR2,10
GRVERTR2,MAPTRAG2,10
MXAZRPI4,MXMERDN6,10
SEECRTR2,SEAMRAG2,10
LEFRRTR2,ZAPCRAG2,10
VAFORTR2,VIPRRAG1,10
VAFORTR2,VIPRRAG2,10
LEFRRTR2,SAPORAG1,10
LEFRRTR2,SAPORAG2,10
SEECRTR2,JXPARAG2,10
SEECRTR2,MAPTRAG2,10
